Years of Education,Years of Experience,Total Savings,Age,Salary,start_state
0,0,0.0,18,0,0
1,0,-50000.0,19,0,0
2,0,3000.0,20,0,0
3,0,-47000.0,21,0,0
4,0,0.0,22,0,0
5,0,-50000.0,23,0,0
6,0,3000.0,24,78000,0
6,1,49000.0,25,73000,0
6,2,104000.0,26,76000,0
6,3,151000.0,27,72000,0
6,4,216000.0,28,74000,0
6,5,266000.0,29,98000,0
6,6,341000.0,30,100000,0
6,7,412000.0,31,86000,0
6,8,494000.0,32,89000,0
6,9,579000.0,33,91000,0
6,10,674000.0,34,96000,0
6,11,779000.0,35,110000,0
6,12,879000.0,36,99000,0
6,13,1027000.0,37,105000,0
6,14,1136000.0,38,96000,0
6,15,1298000.0,39,108000,0
6,16,1465000.0,40,111000,0
6,17,1622000.0,41,111000,0
6,18,1777000.0,42,122000,0
6,19,1947000.0,43,115000,0
6,20,2185000.0,44,190000,0
6,21,2477000.0,45,178000,0
6,22,2821000.0,46,182000,0
6,23,3198000.0,47,173000,0
6,24,3483000.0,48,185000,0
6,25,3767000.0,49,198000,0
6,26,4105000.0,50,178000,0
6,27,4433000.0,51,0,0
7,27,4669000.0,52,125000,0
7,28,4975000.0,53,173000,0
7,29,5489000.0,54,222000,0
7,30,5905000.0,55,140000,0
7,31,6378000.0,56,0,0
8,31,6680000.0,57,125000,0
8,32,7069000.0,58,166000,0
8,33,7734000.0,59,145000,0
8,34,8366000.0,60,129000,0
8,35,9022000.0,61,169000,0
8,36,9415000.0,62,155000,0
8,37,10308000.0,63,148000,0
8,38,11014000.0,64,176000,0
0,0,0.0,24,0,1
1,0,-50000.0,25,0,1
2,0,3000.0,26,0,1
3,0,-47000.0,27,0,1
4,0,0.0,28,0,1
5,0,-50000.0,29,0,1
6,0,3000.0,30,80000,1
6,1,49000.0,31,72000,1
6,2,91000.0,32,77000,1
6,3,141000.0,33,81000,1
6,4,197000.0,34,80000,1
6,5,255000.0,35,87000,1
6,6,334000.0,36,91000,1
6,7,414000.0,37,85000,1
6,8,507000.0,38,94000,1
6,9,606000.0,39,94000,1
6,10,694000.0,40,106000,1
6,11,811000.0,41,105000,1
6,12,940000.0,42,98000,1
6,13,1049000.0,43,102000,1
6,14,1148000.0,44,103000,1
6,15,1256000.0,45,110000,1
6,16,1430000.0,46,116000,1
6,17,1564000.0,47,125000,1
6,18,1747000.0,48,123000,1
6,19,1958000.0,49,111000,1
6,20,2157000.0,50,172000,1
6,21,2451000.0,51,223000,1
6,22,2631000.0,52,169000,1
6,23,2936000.0,53,164000,1
6,24,3216000.0,54,214000,1
6,25,3539000.0,55,0,1
7,25,3770000.0,56,215000,1
7,26,4183000.0,57,0,1
8,26,4285000.0,58,138000,1
8,27,4588000.0,59,202000,1
8,28,5025000.0,60,156000,1
8,29,5577000.0,61,137000,1
8,30,6196000.0,62,205000,1
8,31,6790000.0,63,132000,1
8,32,7363000.0,64,210000,1
0,0,0.0,30,0,2
1,0,-50000.0,31,0,2
2,0,3000.0,32,0,2
3,0,-47000.0,33,0,2
4,0,0.0,34,0,2
5,0,-50000.0,35,0,2
6,0,3000.0,36,0,2
7,0,-47000.0,37,83000,2
7,1,99000.0,38,85000,2
7,2,159000.0,39,85000,2
7,3,219000.0,40,80000,2
7,4,274000.0,41,83000,2
7,5,333000.0,42,90000,2
7,6,426000.0,43,96000,2
7,7,500000.0,44,92000,2
7,8,581000.0,45,85000,2
7,9,665000.0,46,96000,2
7,10,766000.0,47,109000,2
7,11,872000.0,48,106000,2
7,12,996000.0,49,104000,2
7,13,1151000.0,50,99000,2
7,14,1260000.0,51,110000,2
7,15,1406000.0,52,106000,2
7,16,1614000.0,53,117000,2
7,17,1788000.0,54,0,2
8,17,1861000.0,55,115000,2
8,18,2054000.0,56,108000,2
8,19,2255000.0,57,106000,2
8,20,2477000.0,58,190000,2
8,21,2714000.0,59,162000,2
8,22,3073000.0,60,209000,2
8,23,3374000.0,61,209000,2
8,24,3700000.0,62,166000,2
8,25,4116000.0,63,208000,2
8,26,4460000.0,64,172000,2
0,0,0.0,40,0,3
1,0,-50000.0,41,0,3
2,0,3000.0,42,0,3
3,0,-47000.0,43,0,3
4,0,0.0,44,0,3
5,0,-50000.0,45,0,3
6,0,3000.0,46,82000,3
6,1,54000.0,47,72000,3
6,2,110000.0,48,77000,3
6,3,161000.0,49,78000,3
6,4,222000.0,50,72000,3
6,5,280000.0,51,97000,3
6,6,362000.0,52,86000,3
6,7,445000.0,53,95000,3
6,8,522000.0,54,88000,3
6,9,616000.0,55,87000,3
6,10,723000.0,56,95000,3
6,11,828000.0,57,103000,3
6,12,951000.0,58,97000,3
6,13,1101000.0,59,106000,3
6,14,1268000.0,60,102000,3
6,15,1443000.0,61,121000,3
6,16,1652000.0,62,120000,3
6,17,1798000.0,63,0,3
7,17,1830000.0,64,0,3
